expression                                                                     	plurality 	Yago4          	manifestation                    	modifiers                 	vagueness
Elvis Aaron Presley                                                            	instance  	Person         	named                            	MODIFIERS                 	NOT_VAGUE
Elvis                                                                          	instance  	Person         	named                            	MODIFIERS                 	NOT_VAGUE
an American singer, musician and actor                                         	instance  	Person         	undetermined contains_named      	adjective                 	NOT_VAGUE
one of the most significant cultural icons of the 20th century                 	instance  	Person         	numbered                         	adjective preposition     	portions subjective
the King of Rock and Roll                                                      	instance  	Person         	determined named                 	preposition               	NOT_VAGUE
the King                                                                       	instance  	Person         	determined named                 	MODIFIERS                 	NOT_VAGUE
His energized interpretations of songs                                         	class     	CreativeWork   	qualified_anaphora               	adjective preposition     	subjective
sexually provocative performance style                                         	instance  	CreativeWork   	mass_noun                        	noun adjective            	subjective
a singularly potent mix of influences across color lines                       	instance  	Intangible     	undetermined                     	adjective preposition     	portions
a transformative era in race relations                                         	instance  	Event          	undetermined                     	adjective preposition     	subjective portions
great success                                                                  	instance  	Intangible     	mass_noun                        	adjective                 	subjective
initial controversy                                                            	instance  	Action         	mass_noun                        	adjective                 	subjective
Presley                                                                        	instance  	Person         	named                            	MODIFIERS                 	NOT_VAGUE
Tupelo, Mississippi                                                            	instance  	Place          	named                            	MODIFIERS                 	NOT_VAGUE
Memphis, Tennessee                                                             	instance  	Place          	named                            	MODIFIERS                 	NOT_VAGUE
his family                                                                     	instance  	Person         	qualified_anaphora               	MODIFIERS                 	NOT_VAGUE
His music career                                                               	instance  	Intangible     	qualified_anaphora               	noun                      	NOT_VAGUE
Sun Records                                                                    	instance  	Organization   	named                            	MODIFIERS                 	NOT_VAGUE
producer Sam Phillips                                                          	instance  	Person         	named                            	noun                      	NOT_VAGUE
the sound of African-American music                                            	instance  	Intangible     	determined mass_noun             	adjective preposition     	NOT_VAGUE
a wider audience                                                               	instance  	Person         	undetermined                     	adjective                 	degree
Presley                                                                        	instance  	Person         	named                            	MODIFIERS                 	NOT_VAGUE
rhythm acoustic guitar                                                         	instance  	Product        	undetermined                     	noun                      	NOT_VAGUE
lead guitarist Scotty Moore                                                    	instance  	Person         	named                            	adjective noun            	NOT_VAGUE
bassist Bill Black                                                             	instance  	Person         	named                            	noun                      	NOT_VAGUE
a pioneer of rockability                                                       	instance  	Person         	undetermined                     	preposition               	NOT_VAGUE
an utempo, backbeat-driven fusion of country music and rhythm and blues        	instance  	CreativeWork   	undetermined mass_noun           	adjective preposition     	NOT_VAGUE
drummer D.J. Fontana                                                           	instance  	Person         	named                            	noun                      	NOT_VAGUE
the lineup of Presley's classic quartet                                        	instance  	Person         	determined                      	preposition               	NOT_VAGUE
RCA Victor                                                                     	instance  	Organization   	named                            	MODIFIERS                 	NOT_VAGUE
his contract                                                                   	instance  	CreativeWork   	qualified_anaphora               	preposition               	NOT_VAGUE
a deal                                                                         	instance  	CreativeWork   	undetermined                     	modifiers                 	not_vague
Colonel Tom Parker                                                             	instance  	Person         	named                            	noun                      	NOT_VAGUE
two decades                                                                    	class     	Event          	numbered                         	MODIFIERS                 	NOT_VAGUE
Presley's first RCA single                                                     	instance  	CreativeWork   	determined contains_named          	adjective                 	NOT_VAGUE
"Heartbreak Hotel"                                                             	instance  	CreativeWork   	named                            	MODIFIERS                 	NOT_VAGUE
a number-one hit in the United States                                          	instance  	CreativeWork   	undetermined                     	noun adjective preposition	NOT_VAGUE
a series of successful network television appearances and chart-topping records	class     	CreativeWork   	undetermined                     	preposition               	subjective portions
the leading figure of the newly popular sound of rock                          	instance  	Person         	determined                       	adjective preposition     	NOT_VAGUE
Presley                                                                        	instance  	Person         	named                            	MODIFIERS                 	NOT_VAGUE
his film debut                                                                 	instance  	Event          	qualified_anaphora               	noun                      	NOT_VAGUE
Love Me Tender                                                                 	instance  	CreativeWork   	named                            	modifiers                 	not_vague
military service                                                               	instance  	Event          	mass_noun                        	noun                      	NOT_VAGUE
Presley                                                                        	instance  	Person         	named                            	MODIFIERS                 	NOT_VAGUE
his recording career                                                           	class     	Intangible     	qualified_anaphora               	noun                      	NOT_VAGUE
some of his most commercially successful work                                  	class     	CreativeWork   	numbered qualified_anaphora      	noun                      	degree portions
few concerts                                                                   	class     	CreativeWork   	numbered                         	MODIFIERS                 	degree portions
Parker                                                                         	instance  	Person         	named                            	MODIFIERS                 	NOT_VAGUE
much of the 1960s                                                              	class     	Event          	numbered                         	MODIFIERS                 	degree portions
Hollywood films                                                                	class     	CreativeWork   	undetermined contains_named      	MODIFIERS                 	portions
soundtrack albums                                                              	class     	CreativeWork   	undetermined contains_named      	MODIFIERS                 	portions
a seven-year break from live performances                                      	instance  	Event          	undetermined                     	adjective preposition     	NOT_VAGUE
the stage                                                                      	instance  	Place          	determined mass_noun             	modifiers                 	not_vague
the acclaimed television comeback special Elvis                                	instance  	CreativeWork   	determined                       	noun adjective            	NOT_VAGUE
an extended Las Vegas concert residency                                        	instance  	Event          	undetermined contains_named      	adjective                 	degree
a string of highly profitable tours                                            	instance  	Event          	undetermined                     	preposition               	degree portions
the first concert by a solo artist                                             	instance  	CreativeWork   	determined                       	adjective preposition     	NOT_VAGUE
the world                                                                      	instance  	Place          	determined                       	MODIFIERS                 	NOT_VAGUE
Aloha from Hawaii                                                              	instance  	CreativeWork   	named                            	preposition               	NOT_VAGUE
Years of prescription drug abuse                                               	class     	Event          	undetermined                     	preposition               	degree portions
his health                                                                     	instance  	Intangible     	qualified_anaphora               	MODIFIERS                 	subjective
his Graceland estate                                                           	instance  	Place          	qualified_anaphora               	noun                      	NOT_VAGUE
the age of 42                                                                  	instance  	intangible     	determined                       	preposition               	not_vague
his rise from poverty to significant fame                                      	instance  	Event          	qualified_anaphora               	preposition               	degree
Presley's success                                                              	instance  	Intangible     	contains_named                  	MODIFIERS                 	NOT_VAGUE
the American Dream                                                             	instance  	CreativeWork   	determined named                 	adjective                 	NOT_VAGUE
the best-selling solo music artist of all time                                 	instance  	Person         	determined                       	adjective preposition     	NOT_VAGUE
many genres                                                                    	class     	CreativeWork   	numbered                         	MODIFIERS                 	degree portions
pop                                                                            	instance  	CreativeWork   	named                            	MODIFIERS                 	NOT_VAGUE
country                                                                        	instance  	CreativeWork   	named                            	MODIFIERS                 	NOT_VAGUE
R&B                                                                            	instance  	CreativeWork   	named                            	MODIFIERS                 	NOT_VAGUE
adult contemporary                                                             	instance  	CreativeWork   	named                            	noun                      	NOT_VAGUE
gospel                                                                         	instance  	CreativeWork   	named                            	MODIFIERS                 	NOT_VAGUE
three Grammy Awards                                                            	class     	CreativeWork   	numbered named                   	MODIFIERS                 	NOT_VAGUE
the Grammy Lifetime Achievement Award                                          	instance  	CreativeWork   	determined named                 	preposition               	NOT_VAGUE
age 36                                                                         	instance  	intangible     	undetermined mass_noun           	modifiers                 	not_vague
multiple music halls of fame                                                   	class     	Organization   	numbered                         	adjective preposition     	degree portions
several records                                                                	class     	Intangible     	numbered                         	MODIFIERS                 	degree portions
the most RIAA certified gold and platinum albums                               	instance  	CreativeWork   	determined contains_named        	adjective                 	NOT_VAGUE
albums                                                                         	class     	CreativeWork   	undetermined                     	modifiers                 	portions
the Billboard 200                                                              	instance  	Organization   	determined named                 	MODIFIERS                 	NOT_VAGUE
the most number-one albums by a solo artist on the UK Albums Chart             	class     	CreativeWork   	determined                       	adjective preposition     	NOT_VAGUE
the most number-one singles by any act on the UK Singles Chart                 	class     	CreativeWork   	determined                       	adjective preposition     	NOT_VAGUE
the Presidential Medal of Freedom                                              	instance  	CreativeWork   	determined named                 	preposition               	NOT_VAGUE